#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T01:30:40.888Z,429,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T01:40:17.555Z,432,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T01:49:54.222Z,430,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T01:59:30.889Z,431,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T02:09:07.556Z,424,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T02:18:44.223Z,421,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T02:28:20.89Z,417,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T02:37:57.557Z,414,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T02:47:34.224Z,411,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T02:57:10.891Z,409,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T03:06:47.558Z,403,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T03:16:24.225Z,400,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T03:26:00.892Z,397,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T03:35:37.559Z,394,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T03:45:14.226Z,391,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T03:54:50.893Z,389,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T04:04:27.56Z,389,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T04:14:04.227Z,387,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T04:23:40.894Z,387,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T04:33:17.561Z,388,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T04:42:54.228Z,385,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T04:52:30.895Z,383,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T05:02:07.562Z,382,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T05:11:44.229Z,380,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T05:21:20.896Z,380,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T05:30:57.563Z,377,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T05:40:34.23Z,368,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T05:50:10.897Z,361,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T05:59:47.564Z,303,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T06:09:24.231Z,313,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T06:19:00.898Z,262,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T06:28:37.565Z,274,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T06:38:14.232Z,278,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T06:47:50.899Z,284,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T06:57:27.566Z,288,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T07:07:04.233Z,291,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T07:16:40.9Z,293,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T07:26:17.567Z,298,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T07:35:54.234Z,298,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T07:45:30.901Z,303,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T07:55:07.568Z,321,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T08:04:44.235Z,332,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T08:14:20.902Z,344,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T08:23:57.569Z,364,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T08:33:34.236Z,394,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T08:43:10.903Z,393,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T08:52:47.57Z,457,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T09:02:24.237Z,382,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T09:12:00.904Z,418,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T09:21:37.571Z,468,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T09:31:14.238Z,390,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T09:40:50.905Z,346,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T09:50:27.572Z,313,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T10:00:04.239Z,299,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T10:09:40.906Z,291,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T10:19:17.573Z,286,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T10:28:54.24Z,281,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T10:38:30.907Z,267,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T10:48:07.574Z,251,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T10:57:44.241Z,238,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T11:07:20.908Z,221,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T11:16:57.575Z,216,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T11:26:34.242Z,210,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T11:36:10.909Z,204,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T11:45:47.576Z,199,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T11:55:24.243Z,197,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T12:05:00.91Z,191,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T12:14:37.577Z,193,adc,ccs811
,,0,2021-03-20T01:30:00.506Z,2021-03-22T11:10:00.506Z,2021-03-20T12:24:14.244Z,197,adc,ccs811
